g u-g g-r g-i g-z mux muy HRV UU VV WW Px Mv CL Typ Teff logg Pop Age Mass Mbol Radius [M/H] [a/Fe] longitude latitude RAJ2000 DECJ2000 Dist x_Gal y_Gal z_Gal Av errPx errMux errMuy errHrv errMv errMass errAge errTeff errLogg errMet errAlphaFe errBand_g errBand_u errBand_r errBand_i errBand_z
19.497 2.973 1.358 2.578 3.307 43.141 67.269 59.88 -76.96 -28.31 -24.09 0.0062 12.56 5 7.35 3248.0 5.04 7 8.4604 0.189 10.437 0.229 -0.193 -0.019 239.013184 -48.976204 60.378242 -36.929787 0.1614 -8.0545 -0.0908 -0.1067 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
19.133 3.038 1.37 2.502 3.216 12.663 -22.93 32.03 0.55 -33.45 -16.52 0.00562 12.01 5 7.35 3324.0 4.71 4 2.5235 0.117 10.193 0.248 0.145 -0.01 238.738007 -49.62859 59.5625 -36.752106 0.1781 -8.0599 -0.0986 -0.1207 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
19.324 3.047 1.384 2.527 3.182 33.41 13.596 28.71 -29.63 -26.6 -1.88 0.00577 12.25 5 7.35 3332.0 4.95 5 3.9931 0.258 10.193 0.248 0.111 0.037 239.459229 -49.3671 59.888165 -37.221256 0.1734 -8.0574 -0.0973 -0.1166 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
18.508 2.859 1.348 2.389 2.981 7.407 -55.957 -3.39 39.4 -28.57 7.39 0.00573 11.42 5 7.25 3321.0 4.9 6 6.1077 0.429 9.783 0.279 -0.095 0.047 238.574295 -49.407093 59.838387 -36.645214 0.1746 -8.0592 -0.0969 -0.1176 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
18.355 2.936 1.408 2.369 2.993 39.862 50.05 34.09 -57.77 -18.14 -4.06 0.0059 11.34 5 7.25 3380.0 5.07 5 4.1034 0.347 9.783 0.279 -0.29 0.021 239.651093 -49.622387 59.565945 -37.343605 0.1694 -8.0554 -0.0947 -0.114 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
18.537 2.857 1.426 2.351 2.924 26.442 51.789 32.76 -55.05 -9.68 -11.43 0.00574 11.45 5 7.25 3408.0 4.93 5 4.0055 0.418 9.739 0.283 -0.285 0.031 239.173111 -49.179615 60.12397 -37.035114 0.1743 -8.0584 -0.0978 -0.1169 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
17.915 2.746 1.373 2.282 2.816 58.253 55.816 39.89 -70.77 -30.1 0.45 0.00584 10.88 5 7.2 3514.0 4.89 5 3.9442 0.361 9.491 0.303 -0.316 0.006 239.30043 -48.808468 60.589378 -37.117924 0.1712 -8.0575 -0.0969 -0.1138 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
23.04 3.238 1.416 2.965 3.918 54.4 21.229 42.69 -44.27 -41.91 -1.7 0.00608 16.07 5 7.55 3040.0 5.33 7 8.5884 0.244 12.715 0.095 0.19 0.065 238.767303 -49.195152 60.103561 -36.76992 0.1643 -8.0557 -0.0918 -0.1094 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
20.111 0.665 0.131 0.154 0.106 -37.253 -54.231 15.63 44.47 -12.67 -31.52 0.0059 13.86 6 9.1 7276.0 8.23 5 3.9367 0.864 13.87 0.009 -0.222 -0.014 239.058884 -48.806507 60.590801 -36.958832 0.1695 -8.0574 -0.0958 -0.1126 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
22.693 3.295 1.508 2.996 3.862 23.249 -53.718 7.61 29.42 -41.33 6.97 0.00547 15.43 5 7.5 2993.0 5.17 5 4.0171 0.044 12.501 0.103 -0.334 -0.016 239.071075 -49.094543 60.230358 -36.968216 0.1828 -8.0615 -0.1027 -0.1232 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
